student_id,subject,test_number,score,best_subject,average_score
1000,Coding,1,76,Social Studies,59
1000,Coding,2,9,Social Studies,59
1000,Coding,3,80,Social Studies,59
1000,Math,1,66,Social Studies,59
1000,Math,2,32,Social Studies,59
1000,Math,3,70,Social Studies,59
1000,Social Studies,1,94,Social Studies,59
1000,Social Studies,2,34,Social Studies,59
1000,Social Studies,3,49,Social Studies,59
1000,Coding,Average,55,Social Studies,59
1000,Math,Average,56,Social Studies,59
1000,Social Studies,Average,59,Social Studies,59
1001,Coding,1,56,Coding,76
1001,Coding,2,98,Coding,76
1001,Coding,3,74,Coding,76
1001,Math,1,26,Coding,76
1001,Math,2,67,Coding,76
1001,Math,3,62,Coding,76
1001,Social Studies,1,8,Coding,76
1001,Social Studies,2,4,Coding,76
1001,Social Studies,3,96,Coding,76
1001,Coding,Average,76,Coding,76
1001,Math,Average,51.66666667,Coding,76
1001,Social Studies,Average,36,Coding,76
1002,Coding,1,79,Coding,68.66666667
1002,Coding,2,51,Coding,68.66666667
1002,Coding,3,76,Coding,68.66666667
1002,Math,1,34,Coding,68.66666667
1002,Math,2,35,Coding,68.66666667
1002,Math,3,75,Coding,68.66666667
1002,Social Studies,1,0,Coding,68.66666667
1002,Social Studies,2,1,Coding,68.66666667
1002,Social Studies,3,1,Coding,68.66666667
1002,Coding,Average,68.66666667,Coding,68.66666667
1002,Math,Average,48,Coding,68.66666667
1002,Social Studies,Average,0.666666667,Coding,68.66666667
1003,Coding,1,64,Coding,63.33333333
1003,Coding,2,68,Coding,63.33333333
1003,Coding,3,58,Coding,63.33333333
1003,Math,1,77,Coding,63.33333333
1003,Math,2,28,Coding,63.33333333
1003,Math,3,44,Coding,63.33333333
1003,Social Studies,1,79,Coding,63.33333333
1003,Social Studies,2,18,Coding,63.33333333
1003,Social Studies,3,66,Coding,63.33333333
1003,Coding,Average,63.33333333,Coding,63.33333333
1003,Math,Average,49.66666667,Coding,63.33333333
1003,Social Studies,Average,54.33333333,Coding,63.33333333
1004,Coding,1,17,Math,67.33333333
1004,Coding,2,97,Math,67.33333333
1004,Coding,3,8,Math,67.33333333
1004,Math,1,50,Math,67.33333333
1004,Math,2,96,Math,67.33333333
1004,Math,3,56,Math,67.33333333
1004,Social Studies,1,90,Math,67.33333333
1004,Social Studies,2,51,Math,67.33333333
1004,Social Studies,3,42,Math,67.33333333
1004,Coding,Average,40.66666667,Math,67.33333333
1004,Math,Average,67.33333333,Math,67.33333333
1004,Social Studies,Average,61,Math,67.33333333
1005,Coding,1,34,Social Studies,71
1005,Coding,2,74,Social Studies,71
1005,Coding,3,87,Social Studies,71
1005,Math,1,56,Social Studies,71
1005,Math,2,13,Social Studies,71
1005,Math,3,69,Social Studies,71
1005,Social Studies,1,82,Social Studies,71
1005,Social Studies,2,87,Social Studies,71
1005,Social Studies,3,44,Social Studies,71
1005,Coding,Average,65,Social Studies,71
1005,Math,Average,46,Social Studies,71
1005,Social Studies,Average,71,Social Studies,71
1006,Coding,1,61,Coding,71
1006,Coding,2,68,Coding,71
1006,Coding,3,84,Coding,71
1006,Math,1,3,Coding,71
1006,Math,2,15,Coding,71
1006,Math,3,16,Coding,71
1006,Social Studies,1,14,Coding,71
1006,Social Studies,2,20,Coding,71
1006,Social Studies,3,99,Coding,71
1006,Coding,Average,71,Coding,71
1006,Math,Average,11.33333333,Coding,71
1006,Social Studies,Average,44.33333333,Coding,71
1007,Coding,1,33,Math,67.33333333
1007,Coding,2,14,Math,67.33333333
1007,Coding,3,32,Math,67.33333333
1007,Math,1,71,Math,67.33333333
1007,Math,2,46,Math,67.33333333
1007,Math,3,85,Math,67.33333333
1007,Social Studies,1,87,Math,67.33333333
1007,Social Studies,2,59,Math,67.33333333
1007,Social Studies,3,5,Math,67.33333333
1007,Coding,Average,26.33333333,Math,67.33333333
1007,Math,Average,67.33333333,Math,67.33333333
1007,Social Studies,Average,50.33333333,Math,67.33333333
1008,Coding,1,63,Social Studies,54.33333333
1008,Coding,2,15,Social Studies,54.33333333
1008,Coding,3,57,Social Studies,54.33333333
1008,Math,1,38,Social Studies,54.33333333
1008,Math,2,63,Social Studies,54.33333333
1008,Math,3,21,Social Studies,54.33333333
1008,Social Studies,1,26,Social Studies,54.33333333
1008,Social Studies,2,47,Social Studies,54.33333333
1008,Social Studies,3,90,Social Studies,54.33333333
1008,Coding,Average,45,Social Studies,54.33333333
1008,Math,Average,40.66666667,Social Studies,54.33333333
1008,Social Studies,Average,54.33333333,Social Studies,54.33333333
1009,Coding,1,60,Coding,59.33333333
1009,Coding,2,63,Coding,59.33333333
1009,Coding,3,55,Coding,59.33333333
1009,Math,1,57,Coding,59.33333333
1009,Math,2,19,Coding,59.33333333
1009,Math,3,44,Coding,59.33333333
1009,Social Studies,1,12,Coding,59.33333333
1009,Social Studies,2,16,Coding,59.33333333
1009,Social Studies,3,52,Coding,59.33333333
1009,Coding,Average,59.33333333,Coding,59.33333333
1009,Math,Average,40,Coding,59.33333333
1009,Social Studies,Average,26.66666667,Coding,59.33333333
1010,Coding,1,10,Math,42.66666667
1010,Coding,2,46,Math,42.66666667
1010,Coding,3,67,Math,42.66666667
1010,Math,1,47,Math,42.66666667
1010,Math,2,76,Math,42.66666667
1010,Math,3,5,Math,42.66666667
1010,Social Studies,1,41,Math,42.66666667
1010,Social Studies,2,53,Math,42.66666667
1010,Social Studies,3,3,Math,42.66666667
1010,Coding,Average,41,Math,42.66666667
1010,Math,Average,42.66666667,Math,42.66666667
1010,Social Studies,Average,32.33333333,Math,42.66666667
1011,Coding,1,9,Math,76
1011,Coding,2,59,Math,76
1011,Coding,3,2,Math,76
1011,Math,1,64,Math,76
1011,Math,2,82,Math,76
1011,Math,3,82,Math,76
1011,Social Studies,1,49,Math,76
1011,Social Studies,2,16,Math,76
1011,Social Studies,3,26,Math,76
1011,Coding,Average,23.33333333,Math,76
1011,Math,Average,76,Math,76
1011,Social Studies,Average,30.33333333,Math,76
1012,Coding,1,55,Coding,61.66666667
1012,Coding,2,62,Coding,61.66666667
1012,Coding,3,68,Coding,61.66666667
1012,Math,1,0,Coding,61.66666667
1012,Math,2,45,Coding,61.66666667
1012,Math,3,97,Coding,61.66666667
1012,Social Studies,1,65,Coding,61.66666667
1012,Social Studies,2,3,Coding,61.66666667
1012,Social Studies,3,22,Coding,61.66666667
1012,Coding,Average,61.66666667,Coding,61.66666667
1012,Math,Average,47.33333333,Coding,61.66666667
1012,Social Studies,Average,30,Coding,61.66666667
1013,Coding,1,85,Coding,46.33333333
1013,Coding,2,8,Coding,46.33333333
1013,Coding,3,46,Coding,46.33333333
1013,Math,1,57,Coding,46.33333333
1013,Math,2,7,Coding,46.33333333
1013,Math,3,56,Coding,46.33333333
1013,Social Studies,1,2,Coding,46.33333333
1013,Social Studies,2,37,Coding,46.33333333
1013,Social Studies,3,58,Coding,46.33333333
1013,Coding,Average,46.33333333,Coding,46.33333333
1013,Math,Average,40,Coding,46.33333333
1013,Social Studies,Average,32.33333333,Coding,46.33333333
1014,Coding,1,26,Social Studies,61
1014,Coding,2,88,Social Studies,61
1014,Coding,3,16,Social Studies,61
1014,Math,1,51,Social Studies,61
1014,Math,2,85,Social Studies,61
1014,Math,3,31,Social Studies,61
1014,Social Studies,1,19,Social Studies,61
1014,Social Studies,2,70,Social Studies,61
1014,Social Studies,3,94,Social Studies,61
1014,Coding,Average,43.33333333,Social Studies,61
1014,Math,Average,55.66666667,Social Studies,61
1014,Social Studies,Average,61,Social Studies,61
1015,Coding,1,36,Coding,66.33333333
1015,Coding,2,94,Coding,66.33333333
1015,Coding,3,69,Coding,66.33333333
1015,Math,1,47,Coding,66.33333333
1015,Math,2,6,Coding,66.33333333
1015,Math,3,98,Coding,66.33333333
1015,Social Studies,1,6,Coding,66.33333333
1015,Social Studies,2,73,Coding,66.33333333
1015,Social Studies,3,97,Coding,66.33333333
1015,Coding,Average,66.33333333,Coding,66.33333333
1015,Math,Average,50.33333333,Coding,66.33333333
1015,Social Studies,Average,58.66666667,Coding,66.33333333
1016,Coding,1,11,Math,64.66666667
1016,Coding,2,20,Math,64.66666667
1016,Coding,3,78,Math,64.66666667
1016,Math,1,79,Math,64.66666667
1016,Math,2,28,Math,64.66666667
1016,Math,3,87,Math,64.66666667
1016,Social Studies,1,22,Math,64.66666667
1016,Social Studies,2,18,Math,64.66666667
1016,Social Studies,3,100,Math,64.66666667
1016,Coding,Average,36.33333333,Math,64.66666667
1016,Math,Average,64.66666667,Math,64.66666667
1016,Social Studies,Average,46.66666667,Math,64.66666667
1017,Coding,1,44,Math,51.66666667
1017,Coding,2,59,Math,51.66666667
1017,Coding,3,13,Math,51.66666667
1017,Math,1,91,Math,51.66666667
1017,Math,2,2,Math,51.66666667
1017,Math,3,62,Math,51.66666667
1017,Social Studies,1,26,Math,51.66666667
1017,Social Studies,2,28,Math,51.66666667
1017,Social Studies,3,80,Math,51.66666667
1017,Coding,Average,38.66666667,Math,51.66666667
1017,Math,Average,51.66666667,Math,51.66666667
1017,Social Studies,Average,44.66666667,Math,51.66666667
1018,Coding,1,13,Social Studies,57.66666667
1018,Coding,2,18,Social Studies,57.66666667
1018,Coding,3,52,Social Studies,57.66666667
1018,Math,1,84,Social Studies,57.66666667
1018,Math,2,19,Social Studies,57.66666667
1018,Math,3,44,Social Studies,57.66666667
1018,Social Studies,1,85,Social Studies,57.66666667
1018,Social Studies,2,15,Social Studies,57.66666667
1018,Social Studies,3,73,Social Studies,57.66666667
1018,Coding,Average,27.66666667,Social Studies,57.66666667
1018,Math,Average,49,Social Studies,57.66666667
1018,Social Studies,Average,57.66666667,Social Studies,57.66666667
1019,Coding,1,76,Social Studies,71.33333333
1019,Coding,2,40,Social Studies,71.33333333
1019,Coding,3,20,Social Studies,71.33333333
1019,Math,1,24,Social Studies,71.33333333
1019,Math,2,67,Social Studies,71.33333333
1019,Math,3,77,Social Studies,71.33333333
1019,Social Studies,1,55,Social Studies,71.33333333
1019,Social Studies,2,70,Social Studies,71.33333333
1019,Social Studies,3,89,Social Studies,71.33333333
1019,Coding,Average,45.33333333,Social Studies,71.33333333
1019,Math,Average,56,Social Studies,71.33333333
1019,Social Studies,Average,71.33333333,Social Studies,71.33333333
1020,Coding,1,46,Social Studies,59.33333333
1020,Coding,2,5,Social Studies,59.33333333
1020,Coding,3,100,Social Studies,59.33333333
1020,Math,1,42,Social Studies,59.33333333
1020,Math,2,62,Social Studies,59.33333333
1020,Math,3,37,Social Studies,59.33333333
1020,Social Studies,1,57,Social Studies,59.33333333
1020,Social Studies,2,99,Social Studies,59.33333333
1020,Social Studies,3,22,Social Studies,59.33333333
1020,Coding,Average,50.33333333,Social Studies,59.33333333
1020,Math,Average,47,Social Studies,59.33333333
1020,Social Studies,Average,59.33333333,Social Studies,59.33333333
1021,Coding,1,98,Coding,91.66666667
1021,Coding,2,84,Coding,91.66666667
1021,Coding,3,93,Coding,91.66666667
1021,Math,1,4,Coding,91.66666667
1021,Math,2,1,Coding,91.66666667
1021,Math,3,71,Coding,91.66666667
1021,Social Studies,1,97,Coding,91.66666667
1021,Social Studies,2,17,Coding,91.66666667
1021,Social Studies,3,33,Coding,91.66666667
1021,Coding,Average,91.66666667,Coding,91.66666667
1021,Math,Average,25.33333333,Coding,91.66666667
1021,Social Studies,Average,49,Coding,91.66666667
1022,Coding,1,98,Social Studies,67.33333333
1022,Coding,2,60,Social Studies,67.33333333
1022,Coding,3,0,Social Studies,67.33333333
1022,Math,1,13,Social Studies,67.33333333
1022,Math,2,67,Social Studies,67.33333333
1022,Math,3,85,Social Studies,67.33333333
1022,Social Studies,1,42,Social Studies,67.33333333
1022,Social Studies,2,80,Social Studies,67.33333333
1022,Social Studies,3,80,Social Studies,67.33333333
1022,Coding,Average,52.66666667,Social Studies,67.33333333
1022,Math,Average,55,Social Studies,67.33333333
1022,Social Studies,Average,67.33333333,Social Studies,67.33333333
1023,Coding,1,65,Social Studies,70.66666667
1023,Coding,2,100,Social Studies,70.66666667
1023,Coding,3,35,Social Studies,70.66666667
1023,Math,1,82,Social Studies,70.66666667
1023,Math,2,87,Social Studies,70.66666667
